forecast,observed,n
0.023818132528365222,0.2,55
0.04980373701789407,0.05454545454545454,55
0.07532711809760524,0.18181818181818182,55
0.1071176738076194,0.12962962962962962,54
0.1610438339600289,0.16363636363636364,55
0.21056328065383298,0.12727272727272726,55
0.2681774720064074,0.09259259259259259,54
0.361708065355374,0.23636363636363636,55
0.4448855212484543,0.4,55
0.6866674973241329,0.4727272727272727,55
