announce_lag,model,n,positives,auc,brier,brier_base_rate,skill_vs_base_rate
0,base_rate,548,113,0.4187061336588343,0.1726383390383212,0.1726383390383212,0.0
0,spread,548,113,0.6503509307293256,0.16119156276744168,0.1726383390383212,0.06630494903185236
0,sahm,548,113,0.5980266503916184,0.17655202971596504,0.1726383390383212,-0.022669881437952677
0,both,548,113,0.754287458040891,0.1597135809037123,0.1726383390383212,0.07486609409361822
12,base_rate,548,113,0.33469636862984437,0.17560877992767485,0.17560877992767485,0.0
12,spread,548,113,0.648825144949649,0.16373791454891354,0.17560877992767485,0.06759835916888879
12,sahm,548,113,0.5835418573898892,0.178589672033201,0.17560877992767485,-0.016974618847382494
12,both,548,113,0.7568100905299563,0.16010171861671577,0.17560877992767485,0.08830458999456481
