model,n,pseudo_r2,auc_in_sample,brier_in_sample,coef_const,t_const,coef_spread_10y3m,t_spread_10y3m,coef_spread_10y2y,t_spread_10y2y,coef_sahm,t_sahm
spread 10y-3m,764,0.12276105365288204,0.7465205441937345,0.14990227063402878,-0.2594415469430083,-1.238572427031655,-0.4204988691919841,-3.4256489405078505,,,,
spread 10y-2y,591,0.1179571519099788,0.735744629412171,0.14314083993840204,-0.4138387421392764,-1.9335608205648362,,,-0.588943958620148,-2.7162514700683,,
sahm,750,0.013722638202994908,0.7231093657647188,0.17557656101020533,-0.813043999181291,-4.877097087634639,,,,,0.16209270272193085,1.3234487934452426
spread + sahm,750,0.15802595532036778,0.7929644062872542,0.14896745186426336,-0.3219514843436314,-1.4896012828936367,-0.4690699391512061,-3.8829330035594114,,,0.26253045069798103,1.4323243575006008
