,bonds,commodities,equities,fx,gross,net,SPY
2020-01,0.05408685227440689,-0.006174942374618552,-0.014434811977905027,0.008595860570328538,0.04207295849221184,0.04176738318259106,-0.0004043259022802337
2020-02,0.051818496514862526,-0.008513003000394766,-0.051636277079438,-0.004947701194054858,-0.013278484759025086,-0.013475318944701864,-0.07916546344844166
2020-03,0.05076553770144787,0.04439817231436152,-0.07323352233462094,0.012337416530387908,0.03426760421157638,0.0334147658159216,-0.12487138221696192
2020-04,0.004239768990168603,-0.012642749176415214,0.007272336477561299,0.00034142875819456785,-0.0007892149504907429,-0.0018097543139147258,0.1269833060635508
2020-05,-0.002026011036565999,-0.012100585045914946,-0.010598371679459819,-0.0013696263026586478,-0.02609459406459941,-0.026373917027373052,0.04764549455797629
2020-06,-0.002062912729375937,-0.010726908060374522,-0.0015430050418704087,-0.0065752064947646825,-0.02090803232638555,-0.02111699512191214,0.01773439003014632
2020-07,0.014814260973197562,0.008862907195132738,0.0017992868122575414,-0.04271597862685097,-0.017239523646263133,-0.017657674445676688,0.0588923648313906
2020-08,-0.01881498197548395,-0.019054440762983786,0.007978103111771419,0.011263663697572647,-0.01862765592912367,-0.01989639245744936,0.06979675816181019
2020-09,0.00018267188324550465,-0.009700869964006075,-0.011408147611244172,-0.018192516344521105,-0.03911886203652584,-0.039402708776391716,-0.037443834580167756
2020-10,-0.022057067399828163,0.005730069505138623,-0.007261669694899081,0.0020307293942413377,-0.021557938195347282,-0.02171773926851779,-0.02493370221777136
2020-11,0.00859831022096863,-0.0037777913577649344,0.013616057362334818,0.004775035038715238,0.023211611264253754,0.022638721871306913,0.10877683373658664
2020-12,-0.006917044177039776,0.017937122528442134,0.010238212973645456,0.02475740289797419,0.046015694223022006,0.04548294861987572,0.03704837155359675
