,gross,net,sharpe,months
2005,0.14714573071374693,0.13870702412305702,0.8407903243076479,12.0
2006,0.025296668521606724,0.019136074243536916,0.20295865361504928,12.0
2007,0.15844796515255632,0.14951999389184856,0.9595091932165704,12.0
2008,0.2906235961358399,0.2847824028781891,1.7195986555241818,12.0
2009,-0.1273231071799038,-0.13000582578787412,-1.0333389010606435,12.0
2010,-0.06307078449125403,-0.06683883104221644,-0.32310849425904964,12.0
2011,-0.0977994306499651,-0.10323104994099974,-0.35444178015725303,12.0
2012,-0.0662051143237169,-0.07209385053814521,-0.3340201690072602,12.0
2013,0.3681097484049263,0.35841567157367615,3.043223393323047,12.0
2014,0.09342047314181001,0.08754020578197408,0.6731853880720673,12.0
2015,0.23750330411171738,0.23345938825485235,1.1308073764739417,12.0
2016,-0.20933343017325834,-0.21584629117375176,-1.1721194788483473,12.0
2017,0.2602126011920338,0.250838747883823,2.199301905198884,12.0
2018,-0.13830398416878675,-0.147457225076441,-0.7304440807748057,12.0
2019,0.13898382379443253,0.13087474142513655,0.7541486873276387,12.0
2020,-0.01663903856257698,-0.02260693950286896,-0.17850772399282097,12.0
2021,0.03751007725544886,0.03167227236578052,0.26673166772689827,12.0
2022,0.3096978072901564,0.30530026846917435,1.1668664060000296,12.0
2023,-0.03965472246851853,-0.042947942438568476,-0.19612291795433887,12.0
2024,-0.07806732302457275,-0.08503158664094901,-0.50106598347341,12.0
2025,0.10623557558905627,0.09641439076378555,0.8121270400926365,12.0
2026,0.121243450013649,0.11239355418855101,0.9109314085283521,8.0
