ticker,alpha_annual,beta,r2,alpha_pvalue
JNJ,0.033015141507153296,0.09752311189239804,0.007295565532756787,0.7403915547778768
PG,-0.05430413787338325,0.17112691098312893,0.024798353248893457,0.5634792508544253
NEE,-0.06353419329206991,0.42933768723233734,0.05651213473336947,0.6792620474459814
XOM,-0.017217275255430552,0.4467652658925445,0.08873718695161903,0.8907934932513966
LIN,-0.01759348210994615,0.6127798453484773,0.2649031457185652,0.8440032526050031
JPM,0.14939682709255567,0.9187874776358673,0.3600734567363528,0.16402475174281908
DIS,-0.07172103528967069,0.9536370043086351,0.27564687079542227,0.5963604490462049
CAT,0.11854199342373442,1.170348754618808,0.37082813681896065,0.37477243414798495
AAPL,0.06405467537737153,1.171163561119601,0.47536616210221616,0.5522929414956128
AMZN,0.10300279658250966,1.4582394948398778,0.473604267622895,0.44439377491022464
