source,matches,arb rate,mean return when arbed,max return,median book sum
Max column (all books the site tracks),16306,0.527045,0.013787,0.107692,0.999017
"best of 7 named books, 4+ quoting",14333,0.059164,0.011703,0.159943,1.020211
