Date,momentum net,long leg,short leg,crossover net,SPY
2020-01,0.07348689194279268,0.03337379820573827,0.03959860470999166,0.00451542244925518,-0.0004038059700878227
2020-02,0.024735517146023955,-0.06035974435507552,0.08654422577719734,0.03571010334498648,-0.07916587145874021
2020-03,0.2961398006257563,-0.10668614218644623,0.31072864849728155,0.12068349810070544,-0.12487114203024319
2020-04,-0.1150718423598559,0.1487715396764071,-0.2402207474890633,-0.04424668345106453,0.12698350796282853
2020-05,-0.034718048561995674,0.04229386923308209,-0.0762339047783156,-0.02448381821569723,0.04764525993183022
2020-06,-0.03837004642746511,0.06034772178127179,-0.10143186729256315,0.007039311495574241,0.01773450134210819
2020-07,0.10203593710542247,0.08406935565702578,0.01706512737331556,0.04440263144355061,0.05889193496560541
2020-08,0.0593573662487461,0.10212015700867494,-0.035964305542719344,0.028512014838140143,0.069796887985903
2020-09,0.04845817812985054,-0.029640374841787942,0.0772986089853589,0.024863218204343118,-0.03744365550076234
2020-10,-0.015433182266950118,-0.021075270314296124,0.004081183220693063,-0.017807792060860028,-0.024933606116772866
2020-11,-0.2365425405419258,0.10571888027448106,-0.3041087145877709,-0.11328342286210902,0.10877703589394949
2020-12,-0.036801874121648814,0.03820538597169976,-0.07168532822219409,-0.02342317194093868,0.0370482736364508
