,gross,net,sharpe,max_dd,turnover,days,in/out
2005,0.2986949476461387,0.2773446554652246,1.5311797223484067,-0.14979140112755363,6.021428571428572,252.0,in-sample
2006,-0.13832982665568438,-0.15350111936762667,-0.8710568762156696,-0.2753502854327128,6.4125,251.0,in-sample
2007,0.4832171759776349,0.4544275405102478,2.8039287888382023,-0.05804274811532251,7.327941176470588,251.0,in-sample
2008,-0.06058444948854125,-0.07724875801819786,-0.06391497357864712,-0.24677007505161785,6.415441176470589,253.0,in-sample
2009,-0.5659132028854446,-0.5741857908053336,-1.5339271162703942,-0.6632281228796642,7.106617647058824,252.0,in-sample
2010,0.0742567682827675,0.0524745560711819,0.42973455478329364,-0.11069218300729478,7.7536764705882355,252.0,in-sample
2011,-0.017975133638299723,-0.037064961367394234,-0.10254243798915356,-0.19466105005521428,7.34640522875817,252.0,in-sample
2012,-0.051658972710261764,-0.0672110646395373,-0.2932433072258276,-0.1638809363236554,5.754901960784314,250.0,in-sample
2013,0.1878703291647026,0.1676084942436462,1.205223629845928,-0.0729409374816039,6.120915032679738,252.0,in-sample
2014,-0.06972725498801635,-0.08724636480742143,-0.6213635043383788,-0.15391635748267618,6.996216030271757,252.0,in-sample
2015,0.2946450333562669,0.27288594604785943,1.3086308454407691,-0.1316484916469568,5.997076023391813,252.0,in-sample
2016,-0.25488353147630305,-0.2675988870841596,-1.2070154719675257,-0.3429091103886094,6.114035087719298,252.0,in-sample
2017,0.09176706634171694,0.0722177873311709,0.5224301313710735,-0.1076875136219202,6.538011695906432,251.0,in-sample
2018,-0.053833146462694215,-0.07267753657420983,-0.32094713169558536,-0.25154458236174093,7.564327485380117,251.0,in-sample
2019,-0.0907224855217259,-0.10937522176935432,-0.47690503801674733,-0.21174508527106783,7.809941520467835,252.0,in-sample
2020,0.05623763556396755,0.03792408591561269,0.32843928880884066,-0.403935819175254,6.304093567251462,253.0,in-sample
2021,-0.18089333950622222,-0.19577480581553852,-0.6685021362445559,-0.27660046732409604,6.719298245614034,252.0,test
2022,0.20833732639564184,0.18506277743526023,0.7898828167048857,-0.2038501577949603,7.257309941520467,251.0,test
2023,-0.17897196524675474,-0.1939323782943395,-0.8574983829279754,-0.24858594788712696,6.742690058479532,250.0,test
2024,0.2366500862349188,0.2154517687804387,0.9779698309160567,-0.16282036643603603,6.096491228070175,252.0,test
2025,-0.12838107291619905,-0.1439799115695678,-0.5087598174829863,-0.24705324297744946,6.529239766081871,250.0,test
2026,0.23938816410105912,0.2260360846184417,0.9494020060071753,-0.2719529530011452,3.780701754385965,165.0,test
