,in-sample,final test,full
"today's members, full history",0.16609011699709564,0.16950095837555113,0.16697864232474458
"today's members, only while members",0.13384814256967936,0.144425022271778,0.13659694135337697
point-in-time members,0.1264230695170736,0.1271605585688571,0.12661534671297936
SPY,0.09485178264877625,0.1509496982233991,0.10921199936627657
