,gross,net,sharpe,max_dd,turnover
2002,0.0894689287230308,0.0885581174176806,1.7076892563594148,-0.06923514929567587,0.8333333333333333
2003,0.17741770402835177,0.1770266249328012,2.652119075380747,-0.03411045129802037,0.3333333333333333
2004,0.05565691110123949,0.05513135102823874,0.7263514672268139,-0.07526252762886532,0.5
2005,0.1281778348977538,0.12780216115848853,2.244719139063951,-0.04339869132347429,0.3333333333333333
2006,0.014432324785751627,0.014263868091702214,0.2418369206493192,-0.08423005864269562,0.16666666666666666
2007,0.04166199882002197,0.041140303099384656,0.4403251651791621,-0.1036493626319187,0.5
2008,-0.22177125028078537,-0.2228146538313398,-1.2765818873290853,-0.2594764070054152,1.3333333333333333
2009,0.21553782994830017,0.21452654005678373,1.6949357685565907,-0.08131191809702398,0.8333333333333333
2010,0.021285721650474487,0.020269971735712655,0.25950480116456975,-0.07778650829138078,0.9999999999999999
2011,0.015724002865967313,0.015724002865967313,0.18803188401346582,-0.10395962305237516,0.0
2012,0.06490602365007314,0.06455023926407444,0.9162389077167911,-0.08294341911153136,0.3333333333333333
2013,-0.052029775192900196,-0.05234554524330903,-0.6588483445294561,-0.10440372793282326,0.3333333333333333
2014,-0.014133630387591745,-0.01462637586699811,-0.22398951734147068,-0.0843807457194885,0.5
2015,-0.05233750756983546,-0.05233750756983546,-0.4568723857120933,-0.13318068382399628,0.0
2016,0.0770514031551357,0.0770514031551357,0.9502539404943877,-0.03552408789452344,0.0
2017,-0.0375589592766955,-0.037719074366914795,-0.6388179950435694,-0.08796604348940151,0.16666666666666666
2018,0.017555090656858008,0.017555090656858008,0.37353133894943796,-0.03866299720026878,0.0
2019,0.04629353516878143,0.0455961158315199,1.0529582296619973,-0.02728514504100421,0.6666666666666666
2020,-0.051928410986279094,-0.053189287813970365,-0.8517662645379315,-0.07697087544898873,1.3333333333333333
2021,0.050708584515912314,0.049657478550674705,0.9921642516588953,-0.03461363565981068,1.0
2022,-0.008432151276115185,-0.009753108086035023,-0.12720831879675548,-0.05832050348139117,1.3333333333333333
2023,0.01894566844395662,0.017587503998275134,0.3778445607291755,-0.03892001207501794,1.3333333333333333
2024,0.08144275574702653,0.08072118233031311,1.539844108906026,-0.06266443737370331,0.6666666666666666
2025,-0.016948423726092288,-0.017929326216462815,-0.3226960269951277,-0.06683331504982648,1.0
2026,0.055807712909140994,0.05545629518722839,2.408398625798684,-0.01639530295310976,0.3333333333333333
