,XLK,XLF,XLE,XLV,XLI,XLP,XLU,XLY,XLB,TLT,IEF,GLD,EFA,EEM
2014-11-30,0.04755083781133714,0.03454348508184581,0.042839406036794855,0.058243462382455445,0.03969881943083685,0.06644175428161411,0.06287307654182284,0.042320918257959785,0.036192950297468884,0.15860314488950217,0.2720544003232129,0.07246911825907938,0.03635791595783992,0.02981071044822979
2014-12-31,0.04751029414050042,0.03458035277483583,0.04255921005610432,0.058499116344024854,0.03965518179376392,0.06656642207839271,0.06290015997803376,0.042396566699439926,0.036125388793297346,0.1591818882316225,0.2719028326309892,0.0718754595099884,0.03641330315520382,0.02983382381380279
2015-01-31,0.04831927747876116,0.03509032243339707,0.04293566195855919,0.05902737778155046,0.04015771475008715,0.0672999552969216,0.06310786675979839,0.04300094237334026,0.036429710895640885,0.15586165664592355,0.2703943497054123,0.07173697030049765,0.036607918791439056,0.03003027482867133
2015-02-28,0.048443792310193114,0.03513227083369682,0.043344730225691006,0.059291840919915545,0.04022224217287704,0.06745220501446704,0.06295582229618624,0.043108813347960025,0.036635437429700636,0.15549044272942122,0.269305308081972,0.07170074974231629,0.0367511057036224,0.030165239191980758
2015-03-31,0.048296913256446784,0.035191701112543675,0.043331558762515,0.05926384940734767,0.03998373336529006,0.06720250022282322,0.062454927172190984,0.04304577090125574,0.036499624043974846,0.15545037179017845,0.2707218165013096,0.07149264867587529,0.03671969290131156,0.030344891886937397
2015-04-30,0.048425578141184505,0.035192964457573486,0.043535088392929,0.059152357503373804,0.04001319173232685,0.06722394804714751,0.06241726447643728,0.04312577141441449,0.036615448691237895,0.15493873365984234,0.2705850262131681,0.07152929914486161,0.03680843883143017,0.030436889294072997
2015-05-31,0.04873016270743549,0.035233682171556154,0.04338500629299094,0.05927837484697269,0.040006614394112405,0.06723875219510407,0.06223128899979704,0.0432842826440446,0.03648959623060664,0.1547580275988783,0.2713597624796262,0.07095379268114786,0.036684418996139806,0.03036623776158784
2015-06-30,0.048545150448102405,0.035679642595489475,0.04352511517303708,0.0598574757677902,0.04013941055895867,0.06737461397279364,0.06182268446378324,0.04384967307377789,0.03650802948624049,0.1534191826285957,0.2702104712000903,0.07155941009961438,0.03690477225985271,0.030604368271873884
2015-07-31,0.04852437966409653,0.035656618090640614,0.043832052696625524,0.05983910917664384,0.040214434615577846,0.06710877218900096,0.06158061340968571,0.04378161853881702,0.03668876876945739,0.15282092261666946,0.2700906198304651,0.07219474175377207,0.03690814563004501,0.0307592030185029
2015-08-31,0.04836959307123284,0.03567897653923248,0.04394906905609913,0.05861945958286617,0.04023705198434349,0.06606166982250807,0.06154923425846642,0.043549049390869655,0.036684080965383316,0.1524659845935932,0.27155708623454905,0.07385138619845671,0.03680624568612729,0.030621112616272126
2015-09-30,0.04834631330813131,0.03563931974030721,0.04363112922552459,0.05812682736849383,0.04017651939416282,0.06605764789107377,0.06171959369107169,0.043590199288746106,0.03647936504139213,0.1525611086234411,0.2730698135033774,0.07338095651866434,0.03667178630373778,0.03054942010187565
2015-10-31,0.047389219103832196,0.03496973493842805,0.04355374055768499,0.05735682559868969,0.0395955501563972,0.06485012405702688,0.06301300850862135,0.04300546079976159,0.03543710894288134,0.15255768053447558,0.2785580199265887,0.0726682018469424,0.03642307037919688,0.030622254649473078
2015-11-30,0.04774634496045305,0.03519677632687158,0.04355413791794744,0.057268725474262504,0.039833637626496395,0.06462244074745023,0.06264730051742731,0.043075247690960355,0.035715255094159494,0.15253866915663952,0.27823305618890964,0.07243974384508792,0.03644720713291472,0.030681457320419853
