,1/N,tangency,tangency long-only,min variance,inverse vol,ERC,shrunk tangency,shrunk min variance
excess return (gross),+8.09%,+85.85%,+8.79%,+0.70%,+6.81%,+5.48%,+9.06%,+2.44%
excess return (net),+8.05%,+65.52%,+8.64%,+0.56%,+6.77%,+5.44%,+8.78%,+2.33%
vol,11.54%,112.27%,10.81%,4.12%,10.14%,8.59%,10.15%,5.97%
Sharpe (gross),0.70,0.72,0.81,0.17,0.67,0.64,0.89,0.41
Sharpe (net),0.70,0.58,0.80,0.14,0.67,0.63,0.86,0.39
max drawdown (net),-18.0%,-90.3%,-23.4%,-15.0%,-18.9%,-18.8%,-23.9%,-21.0%
monthly turnover,0.034,16.947,0.127,0.118,0.033,0.035,0.236,0.086
avg gross exposure,1.00,19.84,1.00,2.39,1.00,1.00,2.19,1.45
largest |weight|,0.07,55.04,0.71,1.59,0.18,0.31,0.75,0.88
p-value vs 1/N (net Sharpe),,0.78,0.65,0.07,0.49,0.57,0.54,0.14
