,XLK,XLF,XLE,XLV,XLI,XLP,XLU,XLY,XLB,TLT,IEF,GLD,EFA,EEM
2014-11-30,0.001482377903051134,3.5929056398665715e-16,0.05901945209282519,0.09001519713133774,6.413449655054016e-17,0.24878346405285892,1.1996349621163998e-16,2.1644289891467846e-18,0.0,1.494602772704944e-16,0.5496857846430337,0.05101372417689253,6.999543188413514e-17,1.6508001472581916e-17
2014-12-31,2.200440155113302e-17,0.0,0.06679307397306265,0.07483565045167703,3.961561897087357e-17,0.24926297046271292,1.880801974017653e-16,4.3482232532648464e-16,3.419651513488993e-17,0.004820402941911827,0.5465781770880355,0.0577097250825995,7.018710569508773e-18,0.0
2015-01-31,0.026593777264956736,1.0821171690943204e-16,0.04701733121051288,0.09988716259749818,0.0,0.2014616770063079,0.0,3.4909011628498004e-17,4.733279528878559e-17,3.206398403021548e-16,0.5522703356878225,0.07276971623290125,1.5229232269918973e-16,8.603651632334298e-18
2015-02-28,0.06343506886654862,0.0,0.013061338825688877,0.07907789306781939,1.4455432793638944e-17,0.23629539651097367,0.0,0.0,1.3079025761014458e-16,0.0,0.5336497994385114,0.07448050329045791,0.0,0.0
2015-03-31,0.05678333301382658,2.1980572191466792e-16,0.021405753082704038,0.09418454940432583,0.0,0.21047477909851428,0.0,0.0,8.928709850719025e-17,2.7704708148856082e-16,0.5505599172479805,0.06659166815264816,0.0,0.0
2015-04-30,0.07346456795867284,0.0,0.035147713878660086,0.056658845442713726,2.985508528700449e-17,0.21870110421109687,0.0,1.052901686693246e-16,2.2165513658014213e-17,8.083737657932205e-17,0.5514581840037425,0.06456958450511356,1.956857101360558e-16,0.0
2015-05-31,0.06386009662531661,0.0,0.019524590436665035,0.09437931128807267,0.0,0.2205127926868689,5.2719344398510666e-17,0.0,0.0,0.0,0.5213377728142129,0.08038543614886358,2.0611374199582332e-16,1.0131620680413165e-18
2015-06-30,0.05396096580765036,0.0,0.0,0.11229756728756278,0.0,0.25604673642022147,0.0,1.696071232389662e-16,0.0,0.0,0.4911394673722488,0.08655526311231647,0.0,0.0
2015-07-31,0.0444207163090627,9.850391238584792e-17,2.637492002589798e-17,0.10976516273032834,1.8023381272163461e-16,0.2551126753953,4.003004822878057e-16,0.0,9.755821621651845e-18,9.53369518026569e-16,0.5156172185989062,0.07508422696640042,3.154094921826704e-16,5.458110215135635e-16
2015-08-31,0.04351424008554444,5.715843281500637e-18,1.2596370547356509e-16,0.07196821911225329,5.136917665516554e-17,0.2687012528989151,0.0,0.010850344875245437,0.0,0.0,0.5135718492190122,0.09139409380902924,0.0,6.819264657240021e-17
2015-09-30,0.04096282300147612,0.0,0.0,0.0375816836158986,0.0,0.24900906318689228,1.4012738366673797e-16,0.039926123639679144,0.0,0.0,0.5634126824154287,0.06910762414062496,1.0405973586884299e-17,0.0
2015-10-31,0.060096125852362646,0.0,0.0,0.06298736840079883,0.0,0.21007388942193805,0.0,0.03332227247854961,0.0,0.0,0.5696079305243569,0.06391241332199393,0.0,2.0196477346449297e-17
2015-11-30,0.05068328236113947,0.0,0.0,0.07562211044683809,0.0,0.21407470014749022,8.037000510704703e-17,0.03209213189800736,0.0,0.0,0.5802302880935158,0.047297487053008846,0.0,0.0
2015-12-31,0.05753411433774263,0.0,0.0,0.05700159758399591,0.0,0.2650224013643599,5.3515648907173756e-15,0.011968958953633372,0.0,0.0,0.5653154253385172,0.043157502421745736,0.0,0.0
2016-01-31,0.05292194205786424,6.7609752418372505e-15,4.193314382464945e-15,0.020035689371554765,3.837598402011447e-15,0.29911652110394876,0.0,0.008740679148167247,4.497028338052453e-15,1.953179398835055e-14,0.5889697155420222,0.030215452776390542,6.582456738090835e-15,6.811154628978871e-15
2016-02-29,0.05385143148487595,1.7219556259684842e-15,1.1476439474451617e-15,0.010943848508056868,9.7781334422386e-16,0.2912177457860153,1.0967945079316402e-19,0.013358498682746441,1.0698417741173448e-15,4.188075085724338e-15,0.5875635675999724,0.04306490793832137,1.353816525149848e-15,1.3048208104053509e-15
2016-03-31,0.05836594407854218,1.535295943908066e-15,7.903982065817774e-16,0.019519781249695275,5.374224653186862e-16,0.2733302438449876,3.908259511448866e-15,0.014411519204685802,8.982271101689276e-16,1.3270250646057534e-15,0.6027413643685391,0.031631147253538064,1.5529347139140617e-15,1.3386102646874744e-15
2016-04-30,0.040328696036381874,3.743937377673192e-15,1.1224095689884895e-15,0.08261678934059205,2.176759295159185e-15,0.22124457390606733,7.213637195571295e-15,0.017227009417293902,2.1571197210733497e-15,9.233103128221263e-15,0.6222345553550541,0.016348375944578285,3.629262229931576e-15,3.0279239476289474e-15
2016-05-31,0.09188797569914113,0.0,0.0,0.09559642466655709,0.0,0.16274792554536394,0.0,4.383310258462599e-16,0.0,0.0,0.6430062205533182,0.006761453535619116,0.0,0.0
2016-06-30,0.09248468551914442,0.0,7.144954224563184e-17,0.09301469504889799,4.134768836316649e-17,0.15940737407229308,0.0,0.0,1.3944196812345213e-17,0.0,0.6380835990751158,0.017009646284548666,0.0,0.0
2016-07-31,0.1225712128068346,0.0,0.0,0.08555787156459004,0.0,0.12716536156322042,0.0,0.0,0.0,0.0,0.6478276297201023,0.01687792434525252,0.0,0.0
2016-08-31,0.12839807071835002,0.0,0.0,0.06876781199407236,0.0,0.13918817957359303,0.0,0.0,0.0,0.0,0.6462791135669945,0.017366824146990034,0.0,0.0
2016-09-30,0.12986367967624993,0.0,0.0,0.064376044675197,0.0,0.14037830297709303,0.0,0.0,0.0,0.0,0.6397316592673307,0.025650313404129394,0.0,0.0
2016-10-31,0.1332945215352265,0.0,0.0,0.027200397968349884,0.0,0.17811343298321197,0.0,0.0,0.0,0.0,0.6351937044510504,0.02619794306216129,0.0,0.0
2016-11-30,0.12512890318745096,2.0032448433876213e-15,7.271155208133648e-16,0.08802187091310583,0.0,0.15107414968908275,0.0,0.0,1.5064253075290375e-15,5.7235440224862876e-15,0.6290872785496321,0.006687797660714621,1.730856975474131e-15,1.9679293049743306e-15
