,XLK,XLF,XLE,XLV,XLI,XLP,XLU,XLY,XLB,TLT,IEF,GLD,EFA,EEM
2014-11-30,0.05424331568607059,-0.17664400260549915,0.13066809050027003,0.26411208792181534,0.11152035499625196,0.41495367653691473,-0.06363283471665658,0.11168865163075704,-0.07173794063896807,0.03591979766879515,0.41054792141318536,0.0614302142019031,-0.42091488553653206,0.1378455529416924
2014-12-31,0.05265770401213405,-0.1579651855946708,0.1506066748474078,0.2520099290265512,0.12722696921830706,0.40715924308973633,-0.03840291108857344,0.11762770329601525,-0.05444643369089648,0.08054236053427638,0.3432073731162715,0.07978510843639429,-0.48712961553551765,0.1271210803325641
2015-01-31,0.07997008457135055,-0.17534655349463998,0.12306576114635694,0.27355654324547574,0.13331971317079527,0.3392038493180362,-0.03566560364076806,0.12368685598009649,-0.05005200334725669,0.07507322872687598,0.34832409260608205,0.0982106373551888,-0.4341209789385979,0.1007743733010047
2015-02-28,0.11850678681297078,-0.17842623469271407,0.10009196015035747,0.24770125652434283,0.11161480508114816,0.3634427777122581,-0.06426516477962536,0.13734959803682345,-0.06535317139199226,0.02994957903428565,0.40196003929212165,0.09639156553544233,-0.3695339663540202,0.07057016903860125
2015-03-31,0.09896102046309342,-0.15851001918665614,0.10809476848123833,0.2556491373512333,0.07791823493496601,0.349762429227733,-0.07477240405891869,0.1536758274750247,-0.08876814191579582,0.009350528954255262,0.45789546221146116,0.08123872354013552,-0.38047300861358263,0.10997744113581288
2015-04-30,0.09964353648621878,-0.17678963761320324,0.12517595981347487,0.2152900972240399,0.03386990958279841,0.3698744873287335,-0.09120114976533099,0.18886812643296874,-0.052967391052727124,0.002375681136682239,0.47526049282414845,0.07035748051483176,-0.35876057698899816,0.0990029840763628
2015-05-31,0.10781906693813448,-0.17587438698892416,0.10577599045145127,0.23606846553202562,0.025840213009445463,0.3503091480168491,-0.07972074365054166,0.17646586062822106,-0.03477549940639844,-0.023945373737678133,0.4911525674785081,0.0791466022368887,-0.32757642597955483,0.06931451547157352
2015-06-30,0.0893231122155441,-0.20575093611900377,0.09009026709439896,0.26881049771675014,0.04862968232155052,0.40810796875362965,-0.13616110044850094,0.18345038932433894,-0.023044451844151232,-0.04446254394319838,0.5094963822156356,0.07593164384648902,-0.3407711298890077,0.0763502187555252
2015-07-31,0.10348548060683234,-0.18656685168002307,0.07371083429985469,0.23628301042544744,0.03755603218026822,0.3925157668063094,-0.11171874927115276,0.18101575511574622,-0.04619620420675824,-0.06687448176477614,0.5438955116326828,0.07753058496610334,-0.276619597254633,0.041982908144098705
2015-08-31,0.11075675807385055,-0.19015152412231914,0.04239959352282672,0.20284608322162273,0.06596181937033876,0.4171800138949207,-0.08832564510345739,0.18817734489839266,-0.0010622595390886583,-0.09021045015153037,0.5495300049093895,0.10446612607044208,-0.3487952119251463,0.0372273468797579
