window,months,1/N,tangency,tangency long-only,min variance,shrunk tangency
24,237,0.635038045328945,-0.2533491971597717,0.6203042173305873,0.15689489639467055,-0.34588206254660825
36,225,0.6196582960086704,-0.2527779423766003,0.6597657921233738,0.205133663652948,0.24462323079883044
48,213,0.8631822014348455,-0.39991389494352164,0.8634745908114194,0.32429744736577815,-0.11795248788577156
60,201,0.8234525557940486,0.008044760247113166,0.8780336327959422,0.37831527720079683,0.9525156565133646
84,177,0.8271036088117484,-0.3148900934242983,0.8299109289139917,0.34505514523642355,0.9471838834167108
120,141,0.6973652286114452,0.5835724909704764,0.7992441237973099,0.13682412328432078,0.8641643989586559
150,111,0.6901295729289708,0.8463119356070963,0.6694819386857014,0.015605193840708463,0.796107390028688
180,81,0.6742313019496591,0.8953239219952286,0.7071127916946887,-0.0081270625928451,0.7649989050506874
240,21,1.0850408811507346,1.0809648011509128,1.336784631983698,0.3635415487810263,1.129390403537497
