,etf,etf,etf,etf,sp100,sp100,sp100,sp100,sp500,sp500,sp500,sp500
,sample,lw,pca,ff,sample,lw,pca,ff,sample,lw,pca,ff
2005-06-30,2.776199399503242,2.37291953222155,3.1756207882005874,1.0246511062096517,3.2388490794929385,2.8725856532265452,2.644832332934835,2.378751048393948,6.5163944934426015,4.564292480349605,3.4393960958097436,2.90574851844867
2005-07-29,2.7135481079713077,2.3198381477318613,3.1274438675237506,1.0218686288474008,3.0122795398500672,2.706189964158061,2.5309206989242763,2.3477276457668563,6.121064074268311,4.5113802396049145,3.4543399198778673,2.9276779817642034
2005-08-31,2.73757074641506,2.322465164124952,3.1722978344256587,1.0371480522996779,2.851113870129555,2.5947984290859285,2.5051252843742624,2.324035250765516,6.571098607978483,4.774940187038287,3.44257372825429,2.911308455291224
2005-09-30,2.704938895680545,2.3009788103751103,3.144407389330755,1.0390239001661281,2.7962888653789992,2.561686747482714,2.5261558954604233,2.318725900747461,6.681633482469883,4.818447485381123,3.449585909033479,2.9363622412079713
2005-10-31,2.679662546883158,2.2771872477076593,3.1217813633195375,1.0648514443236958,2.8362773276910453,2.592575819707512,2.593838419309242,2.286273453508312,6.900324570025562,4.968844248111868,3.5033076572420176,2.984604388767491
2005-11-30,2.699013603656656,2.291632655301036,3.146880257443976,1.0645194362329236,2.905149056099156,2.6307572264990333,2.5740776452003886,2.2604715046868207,7.2462026575339555,4.936095679699877,3.512756260602387,2.9673720442963
2005-12-30,2.7431092288701397,2.322435249956049,3.156150956792578,1.0663128748603932,2.9124840404027212,2.6411876816684763,2.60022857472875,2.2683930697665042,6.94667452918698,4.987802789524697,3.5197982064615556,2.981861038945373
2006-01-31,2.7042083929215193,2.2904578506616793,3.1172333617125796,1.0727654866077043,2.9875695721000946,2.6886643947141096,2.5815520750482923,2.2797103286905207,7.1298998003843925,5.093912011569607,3.568279300659596,3.0537787218539973
2006-02-28,2.6731950832908904,2.261467444183493,3.0951692943820417,1.0710062137523375,3.005133751325258,2.7080220086385784,2.6061716696502297,2.2905300750048765,6.963903015454665,5.048038729166835,3.5576569292348452,3.039150642077378
2006-03-31,2.622615115520563,2.216883632125581,3.0526047924963002,1.0805822483474745,3.021805418781727,2.7051794963797984,2.5977528457419163,2.2676517751642735,6.5506671055818,4.7816827557425166,3.526588745037025,3.001669838423652
2006-04-28,2.552405427208211,2.160059329342422,2.965731391081303,1.0784189872895735,3.1101467492193766,2.7458990244918136,2.4583012621270415,2.2312247360162845,6.857604493485182,4.778802057678139,3.4666404719165627,3.011416780845815
2006-05-31,2.552157836321726,2.1634617856358007,2.931331184757431,1.0725449256180588,3.0743295668714503,2.76054111239772,2.480399846858456,2.2694822653915985,6.686343911897424,4.716446638294244,3.504736868403925,3.033461440737013
