date,return,parametric,historical,fhs
2011-02-02,0.0011257759077557136,0.02580693455772629,0.02838113356169462,0.022270879992856693
2011-02-03,-0.001836235692715342,0.025771890328834274,0.02838113356169462,0.021509956014956276
2011-02-04,-0.0009105606088473354,0.025771233597053828,0.02838113356169462,0.020891264122291114
2011-02-07,0.001151149679126882,0.025728776502321825,0.02838113356169462,0.02025147837899112
2011-02-08,0.005014355699451745,0.02566687096668175,0.02838113356169462,0.019612269543786306
2011-02-09,-0.000730397134715137,0.025670117436368975,0.02838113356169462,0.01932082498848198
2011-02-10,-0.0020083512766032037,0.02545220231847928,0.026298976981618337,0.018771457397293627
2011-02-11,-0.0021407567911511374,0.02544978476725498,0.026298976981618337,0.018351035589556978
2011-02-14,0.00162442502375558,0.02545120761769271,0.026298976981618337,0.017973545582532426
2011-02-15,-0.0027317682979346703,0.025446268890065436,0.026298976981618337,0.017490289409778238
2011-02-16,0.00565319383466497,0.025138768342575474,0.02520735759213263,0.017245214848153546
2011-02-17,0.00637501343596859,0.02513723548338013,0.02520735759213263,0.017256842290371423
2011-02-18,0.0031318241857820673,0.0251328215108674,0.02520735759213263,0.017409589387568834
2011-02-22,-0.012844219043170877,0.025131222539941333,0.02520735759213263,0.017059175854269693
2011-02-23,0.004966877107227694,0.025094675671524423,0.02520735759213263,0.019859753066846904
2011-02-24,-0.004585814301157424,0.025021069109195715,0.02520735759213263,0.019542562046557205
2011-02-25,0.010066177803869342,0.025007307368624093,0.02520735759213263,0.019413782720062125
2011-02-28,0.005936528282963521,0.025019071744165462,0.02520735759213263,0.02026532639599293
2011-03-01,-0.003525893356040317,0.025008039001342207,0.02520735759213263,0.020065524082330942
2011-03-02,0.007383359069766231,0.02463408206699522,0.024866820937352062,0.019728817391648695
2011-03-03,0.00802324786533282,0.024641448762947257,0.024866820937352062,0.019854652313593495
2011-03-04,-0.00041133166068788767,0.024482741967490736,0.024866820937352062,0.017404360032899163
2011-03-07,-0.004463130493471941,0.024373203478636297,0.024866820937352062,0.01691489291348807
2011-03-08,0.000982550952083393,0.024369642917948593,0.024866820937352062,0.01681129918144883
2011-03-09,-0.001111498066468029,0.02431143950982835,0.024866820937352062,0.016335036399025827
2011-03-10,-0.019554398670742004,0.024155078816871085,0.024866820937352062,0.015936627421912274
2011-03-11,0.003454671908834502,0.02424293064645841,0.024866820937352062,0.020716386978641612
2011-03-14,-0.0013257062986642082,0.024104073302533224,0.024866820937352062,0.02011504279705036
2011-03-15,-0.02005175685407958,0.024105168210962424,0.024866820937352062,0.01951644757649719
2011-03-16,-0.0118146616039876,0.024194973588712775,0.024866820937352062,0.023559458540849457
2011-03-17,0.01910213224978602,0.02417856274031954,0.024866820937352062,0.024277989082273823
2011-03-18,0.006978463276329583,0.0241809333279617,0.024866820937352062,0.026481140657529125
2011-03-21,0.01286303749769781,0.02416798347978093,0.024866820937352062,0.025858508897646314
2011-03-22,0.001553943820232274,0.024183428233868095,0.024866820937352062,0.026223504152176037
2011-03-23,-0.00024283510244378886,0.02389433198805201,0.024866820937352062,0.025279112666458138
2011-03-24,0.005223056446783923,0.023821623607572555,0.024866820937352062,0.024384358686750218
2011-03-25,-0.00155168782390596,0.023823064378206547,0.024866820937352062,0.02371152441555438
2011-03-28,-0.004700131967348858,0.023810454091727072,0.024866820937352062,0.02293671653754894
2011-03-29,0.004257821255549031,0.023718135103040047,0.024866820937352062,0.022453289534564005
2011-03-30,0.004334253677363543,0.023579902130850712,0.024866820937352062,0.021810777175564133
2011-03-31,0.004492659570560612,0.02355523409828793,0.024866820937352062,0.021209376468942293
2011-04-01,0.004885986147488865,0.02354317867523613,0.024866820937352062,0.02065434134749984
2011-04-04,0.002784043802825731,0.02333850815374436,0.024866820937352062,0.02278361670712095
2011-04-05,0.0031971672885169646,0.023322428650742928,0.024866820937352062,0.022128733919187002
2011-04-06,0.004818828176062353,0.023283938937104034,0.024866820937352062,0.02153696883615778
2011-04-07,-0.000647816640262249,0.023227275406495267,0.024866820937352062,0.021126219373125782
2011-04-08,0.0075096604092634,0.023222837257937372,0.024866820937352062,0.020528486333035147
2011-04-11,-0.006340260417894683,0.023149823989019762,0.024866820937352062,0.02059574677539554
2011-04-12,-0.010469922484402937,0.02315499839951095,0.024866820937352062,0.020680385429439938
2011-04-13,0.003002502309579314,0.023166678694363042,0.024866820937352062,0.02174724636582309
2011-04-14,0.005383774808527493,0.02316533660351849,0.024866820937352062,0.021165495931583327
2011-04-15,-0.0005837863500406098,0.02316969711282622,0.024866820937352062,0.020847676330060665
2011-04-18,-0.008974195535627255,0.023165652308051628,0.024866820937352062,0.020263837580517044
2011-04-19,0.005968973574357747,0.022952498160801568,0.02439709966625482,0.02097318451774728
2011-04-20,0.01551438007946907,0.022919171938443193,0.02439709966625482,0.020748938979522357
2011-04-21,0.0073251715174190695,0.022965396776099968,0.02439709966625482,0.023030356883155054
2011-04-25,-0.0015981663288133475,0.02291578138487067,0.02439709966625482,0.022859549904979248
2011-04-26,0.0007743205461364477,0.022887759387239793,0.02439709966625482,0.02220625117288625
2011-04-27,0.010997024392077115,0.022842927426407512,0.02439709966625482,0.02152523388979312
2011-04-28,-0.0010142739799532743,0.022864289998792867,0.02439709966625482,0.022278743877107904
2011-04-29,0.003202770858286086,0.022770016487456513,0.02439709966625482,0.021629397415720234
2011-05-02,-0.005071564571321701,0.02276960817338556,0.02439709966625482,0.021067780922375733
2011-05-03,-0.01036052017916671,0.022742994163577033,0.02439709966625482,0.020895345843672274
2011-05-04,-0.009409215290950712,0.02265306895689452,0.02439709966625482,0.02206103557423562
2011-05-05,-0.026835312262844722,0.02267294896988704,0.02439709966625482,0.022717043431233885
2011-05-06,0.001449101054275567,0.022809930712059022,0.024866820937352062,0.030280734084570188
2011-05-09,0.01172980920342541,0.02279603788666933,0.024866820937352062,0.029170322533574388
2011-05-10,0.0063909096864665765,0.022711244348857174,0.024866820937352062,0.029316469274952333
2011-05-11,-0.01826003292732645,0.02268179013649758,0.024866820937352062,0.028574133702155006
2011-05-12,0.0007822843670470403,0.022762160638807285,0.024866820937352062,0.031048053877080026
2011-05-13,-0.008360087700689753,0.022676284904895917,0.024866820937352062,0.02989279969614903
2011-05-16,-0.006133214368486138,0.02268163354997031,0.024866820937352062,0.029600499617350614
2011-05-17,0.002305336599196692,0.022655732676567373,0.024866820937352062,0.028984622066978112
2011-05-18,0.009767436757686163,0.022518751651302783,0.024866820937352062,0.02796231006478356
2011-05-19,0.00027765129384292467,0.022529759668746766,0.024866820937352062,0.027820570119820687
2011-05-20,-0.004349846212794567,0.022514892094529042,0.024866820937352062,0.026835911813135525
