ts,return
2026-01-24,-0.0034141423275836358
2026-01-25,-0.009878133316324478
2026-01-26,0.0
2026-01-27,-0.0034433751360354314
2026-01-28,-0.006787200602383914
2026-01-29,-0.013366474956096663
2026-01-30,-0.019884279767470647
2026-01-31,-0.01324204023464759
2026-02-01,-0.0014153513076655688
2026-02-02,-0.007838177248832179
2026-02-03,-0.006482368892713697
2026-02-04,-0.006354798104506787
2026-02-05,-0.013028216477632859
2026-02-06,-0.005871891869035473
2026-02-07,-0.0035229475778904007
2026-02-08,-0.00655377235163046
2026-02-09,-0.010032828567312024
2026-02-10,-0.0031873410876069874
2026-02-11,-0.003245688024619109
2026-02-12,-0.006660585418802989
2026-02-13,-0.010074102072457958
2026-02-14,0.0
2026-02-15,-0.013139769143614477
2026-02-16,-0.006706692046732354
2026-02-17,-0.0035613190206612577
2026-02-18,-0.0032428108587443383
2026-02-19,0.0
2026-02-20,-0.013815512209707115
2026-02-21,0.0
2026-02-22,-0.023272332965700637
2026-02-23,-0.009835480879577418
2026-02-24,0.0
2026-02-25,-0.013397193819139841
2026-02-26,-0.0015841056893849403
2026-02-27,-0.018481716133381454
2026-02-28,-0.009930249763392851
2026-03-01,-0.00995042595775597
2026-03-02,-0.010215972160799947
2026-03-03,0.0
2026-03-04,-0.01004919414337857
2026-03-05,0.0
2026-03-06,-0.0033444886359615955
2026-03-07,0.0
2026-03-08,-0.019009215355834774
2026-03-09,-0.006855374319131524
2026-03-10,-0.0033434381692624138
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,-0.0066513338056390925
2026-03-14,-0.006759366422673607
2026-03-15,-0.018469192266043488
2026-03-16,-0.012043985546185021
2026-03-17,-0.0033820953066683312
2026-03-18,-0.013472632184129307
2026-03-19,-0.0033052551958199228
2026-03-20,-0.006711383429359508
2026-03-21,0.0
2026-03-22,-0.00998302683675667
2026-03-23,-0.003254620134452879
2026-03-24,-0.0034217028701185592
2026-03-25,0.0
2026-03-26,0.0
2026-03-27,-0.00289322509779788
2026-03-28,-0.003292958963971526
2026-03-29,-0.009971243232694271
2026-03-30,0.0
2026-03-31,-0.01354574343085757
2026-04-01,-0.005008220763170423
2026-04-02,-0.011746534602559922
2026-04-03,-0.006542144568618458
2026-04-04,-0.0032316728836757624
2026-04-05,-0.003543181399741302
2026-04-06,-0.006536140861501338
2026-04-07,-0.008259437346955001
2026-04-08,-0.0016582173304255932
2026-04-09,-0.0034997527110492976
2026-04-10,-0.0033781714645285676
2026-04-11,-0.006646453449676626
2026-04-12,-0.006749441651100918
2026-04-13,-0.006719175403756772
2026-04-14,0.0
2026-04-15,-0.003188811027864058
2026-04-16,-0.006567988436297356
2026-04-17,-0.011478670340890007
2026-04-18,-0.004783455623668442
2026-04-19,-0.013398199087050089
2026-04-20,-0.0032664000367136348
2026-04-21,0.0
2026-04-22,-0.020170074623294898
2026-04-23,-0.009960737188099755
2026-04-24,-0.003358516888416596
2026-04-25,0.0
2026-04-26,-0.009967637232894289
2026-04-27,-0.009381375116027435
2026-04-28,-0.010304655031179388
2026-04-29,-0.00627495935952771
2026-04-30,-0.003307100122014184
2026-05-01,0.0
2026-05-02,-0.0032079989328976932
2026-05-03,-0.013866034604988031
2026-05-04,-0.006893565899125154
2026-05-05,-0.016975054745880347
2026-05-06,-0.0034105162936283184
2026-05-07,-0.0034647343010332232
2026-05-08,0.0
2026-05-09,0.0
