fold,train_start,train_end,test_start,test_end,picked,picked_train_sharpe,picked_test_sharpe
1,2024-01-01,2024-05-14,2024-05-30,2024-10-28,"{""window"": 288, ""entry"": 3.0}",-6.307919203392644,-9.3371534264486
2,2024-01-01,2024-10-10,2024-10-28,2025-03-28,"{""window"": 288, ""entry"": 3.0}",-7.12059329225411,-5.715077746216024
3,2024-01-01,2025-03-12,2025-03-28,2025-08-26,"{""window"": 288, ""entry"": 3.0}",-6.5952684195286055,-7.363867585434785
4,2024-01-01,2025-08-10,2025-08-26,2026-01-23,"{""window"": 288, ""entry"": 3.0}",-6.824997204797595,-7.295389226462956
