,minutes,mean_bps,std_bps,p1_bps,p99_bps,abs_p99_bps,autocorr_1m,round_trip_bps,share_over_cost,runs_over_cost,median_run_min,share_over_10bps
BTC spot: OKX/Binance,44160.0,0.33762809122356635,0.7353783724342734,-1.4901365492890228,2.0401434253173534,2.108753895693671,0.5539025300795403,24.0,0.0,0.0,0.0,0.0
BTC perp: OKX/Binance,44160.0,-0.06101252849639864,0.7694853989809067,-1.8727223187184117,1.5965208309792525,1.947746289713113,0.7329525439607794,12.0,0.0,0.0,0.0,0.0
BTC OKX basis,44160.0,-4.741823126066483,0.7531580849054358,-6.453139774187632,-2.9244440163583647,6.453139774187632,0.5899056822771065,34.0,0.0,0.0,0.0,0.0
BTC Binance basis,44640.0,-4.342335097786287,0.7492551874534235,-5.964648155785979,-2.6485186875994655,5.964648155785979,0.5364182011419842,34.0,0.0,0.0,0.0,4.4802867383512545e-05
ETH spot: OKX/Binance,44159.0,0.10947007810914387,0.7506008684929241,-1.6105830487774142,1.8943627956598863,2.011218113559243,0.3810827496960413,24.0,0.0,0.0,0.0,0.0
ETH perp: OKX/Binance,44160.0,-0.06306356752876686,0.7801489597376089,-1.8222927193969451,1.6522232405187005,1.928102321373489,0.6852204447279493,12.0,0.0,0.0,0.0,2.2644927536231884e-05
ETH OKX basis,44159.0,-4.805048773219988,0.7086299413963146,-6.4283664970192556,-3.0552136768350793,6.4283664970192556,0.4689590911077005,34.0,0.0,0.0,0.0,0.0
ETH Binance basis,44640.0,-4.630286049633732,0.7484662642864232,-6.342432719810576,-2.930392045332486,6.342432719810576,0.5289281282907025,34.0,0.0,0.0,0.0,0.0
